1	ну	ну	PART	_	_	_	_	_	@pp1990m-words#@pp1990m#1.07#1.442
2	для	для	ADP	_	_	_	_	_	@pp1990m-words#@pp1990m#1.442#1.814
3	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#1.814#2.186
4	чтоб	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@pp1990m-words#@pp1990m#2.186#2.558
5	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@pp1990m-words#@pp1990m#2.558#2.93
6	с	с	ADP	_	_	_	_	_	@pp1990m-words#@pp1990m#2.93#3.302
7	ней	она	PRON	_	Case=Ins|Gender=Fem|Number=Sing|Person=3	_	_	_	@pp1990m-words#@pp1990m#3.302#3.674
8	комфортно	комфортно	ADV	_	Degree=Pos	_	_	_	@pp1990m-words#@pp1990m#3.674#4.052
9	существовать	существовать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@pp1990m-words#@pp1990m#4.116#4.483
10	жить	жить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@pp1990m-words#@pp1990m#4.483#4.85
11	на	на	ADP	_	_	_	_	_	@pp1990m-words#@pp1990m#4.85#5.217
12	одной	один	PRON	_	Case=Loc|Gender=Fem	_	_	_	@pp1990m-words#@pp1990m#5.217#5.584
13	территории	территория	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#5.584#5.951
14	в	в	ADP	_	_	_	_	_	@pp1990m-words#@pp1990m#5.951#6.318
15	одной	один	PRON	_	Case=Loc|Gender=Fem	_	_	_	@pp1990m-words#@pp1990m#6.318#6.685
16	квартире	квартира	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#6.685#7.052
17	в	в	ADP	_	_	_	_	_	@pp1990m-words#@pp1990m#7.052#7.419
18	одном	один	PRON	_	Case=Loc|Gender=Masc	_	_	_	@pp1990m-words#@pp1990m#7.419#7.786
19	доме	дом	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#7.786#8.153
20	и	и	CCONJ	_	_	_	_	_	@pp1990m-words#@pp1990m#8.153#8.52
21	так	так	ADV	_	Degree=Pos	_	_	_	@pp1990m-words#@pp1990m#8.52#8.887
22	далее	далее	ADV	_	Degree=Pos	_	_	_	@pp1990m-words#@pp1990m#8.887#9.254
23	для	для	ADP	_	_	_	_	_	@pp1990m-words#@pp1990m#9.254#9.621
24	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#9.621#9.988
25	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@pp1990m-words#@pp1990m#9.988#10.355
26	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@pp1990m-words#@pp1990m#10.355#10.722
27	возможность	возможность	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#10.722#11.089
28	управлять	управлять	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@pp1990m-words#@pp1990m#11.089#11.456
29	собакой	собака	NOUN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#11.456#11.823
30	и	и	CCONJ	_	_	_	_	_	@pp1990m-words#@pp1990m#11.823#12.19
31	было	быть	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@pp1990m-words#@pp1990m#12.19#12.557
32	некое	некий	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#12.557#12.924
33	взаимопонимание	взаимопонимание	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@pp1990m-words#@pp1990m#12.924#13.291
34	да	да	PART	_	_	_	_	_	@pp1990m-words#@pp1990m#13.291#13.658
35	потому	потому	ADV	_	Degree=Pos	_	_	_	@pp1990m-words#@pp1990m#13.658#14.025
36	что	что	SCONJ	_	_	_	_	_	@pp1990m-words#@pp1990m#14.025#14.4
37	очень	очень	ADV	_	Degree=Pos	_	_	_	@pp1990m-words#@pp1990m#15.006#15.601
38	часто	часто	ADV	_	Degree=Pos	_	_	_	@pp1990m-words#@pp1990m#15.601#16.196
39	ээ	ээ	INTJ	_	_	_	_	_	@pp1990m-words#@pp1990m#16.39#16.75
40	у	у	ADP	_	_	_	_	_	@pp1990m-words#@pp1990m#16.75#17.11
41	владельцев	владелец	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@pp1990m-words#@pp1990m#17.11#17.47
42	собак	собака	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@pp1990m-words#@pp1990m#17.47#17.83
